Genes,FC_mem_KO_mem WT
Heatr1,0.982718405
Vps50,0.982695891
Gt(ROSA)26Sor,0.98265896
Lrrc41,0.982646016
Rmnd5a,0.982609453
Api5,0.982607325
Ppard,0.982602199
Zfp142,0.982559488
Rhoh,0.982536218
Acss1,0.982515968
Selenok,0.982515579
Tmem167,0.982498444
Spast,0.982491582
Eri3,0.982474227
Polr2k,0.982462687
Fbxw4,0.982388801
Nr3c1,0.982382722
Ezh1,0.98235522
Mical1,0.982349515
4931406P16Rik,0.982320565
Atl3,0.982313206
Fgd5,0.982300885
Pogz,0.982283006
Gtf3c1,0.982272529
Irf2,0.982257082
Pstpip2,0.982229402
Gpbp1l1,0.98221125
Zfp867,0.982193065
Tmem89,0.982142857
Wdr37,0.982141119
Camkmt,0.982109228
Eif4a1,0.98206707
Copg1,0.982026046
Prkd2,0.982007619
Nup188,0.982004556
Atg10,0.98200313
Ubald1,0.981990288
Pxk,0.981985687
Mynn,0.98197657
Lrp6,0.981964979
Vps13c,0.981946876
Sun1,0.981912601
Pcid2,0.981897776
Gcfc2,0.981840865
Hsf4,0.981767181
Noa1,0.9817466
Scd2,0.981739028
Hsd17b11,0.98172232
Sec23ip,0.981689985
Snrnp70,0.981689003
Rbms1,0.981670875
Itsn1,0.981651376
Gcsam,0.981651376
Htr1d,0.981651376
Dym,0.981642434
Garem2,0.981595092
Pip5k1a,0.981566389
Dock10,0.981556381
Map3k7,0.98153698
Lypla2,0.981518934
Zfp599,0.981513328
Slc7a3,0.981481481
Alpk2,0.981470759
Strn,0.981447406
Caml,0.981444131
Wwp1,0.981431124
Rnasel,0.981403941
Rnf220,0.981377072
Klhl2,0.981374578
Nol10,0.981349837
Gata1,0.981343284
Ythdc2,0.981293459
Runx2,0.98127981
Piga,0.981248925
Eif2ak1,0.981240706
Pycr2,0.98122947
Gpr34,0.981220657
Rpl10a,0.981203921
Pla2g10,0.981132075
Bcl2l1,0.981116995
Idi1,0.98109879
Gpsm1,0.981092896
Brox,0.981080256
Dock11,0.981066274
Lacc1,0.981054366
Bag4,0.981054166
Icmt,0.981002872
Rab11b,0.980982447
Ccdc134,0.980958634
Bcor,0.980924416
Lsm10,0.980888889
Mroh1,0.980887293
Rfesd,0.980806142
Ostm1,0.98079561
Ddx41,0.980751096
Mark4,0.980740862
Fat1,0.980728051
Mcl1,0.980668993
Hnrnph1,0.980658667
Txn2,0.980614973
D130040H23Rik,0.98060689
Bet1,0.980604252
Serinc1,0.98059832
Plxna3,0.980530973
Arl4d,0.980521113
Cnot9,0.980505415
Spry1,0.980440098
Nptn,0.980434302
Adpgk,0.980412619
Csnk1a1,0.980405905
Tecpr2,0.980399767
Klrc2,0.980393339
2810029C07Rik,0.980392157
Psg20,0.980392157
Atp5b,0.980388541
Tmed8,0.980376344
Usp6nl,0.980344642
Zfp658,0.98034398
Serpinb1a,0.980338613
Mllt11,0.980334317
Slc30a4,0.980320366
Sipa1l2,0.980319149
Abl2,0.980296343
Mbtps2,0.980271059
Smyd4,0.980216241
Aip,0.980186066
Ybey,0.980182927
Anxa6,0.980175185
Eno1,0.980152704
Frrs1,0.980145517
Dcbld2,0.980113636
2410002F23Rik,0.980015987
Heatr5b,0.979990614
Tpd52,0.979967949
Fam105a,0.979963261
Med28,0.979959479
Prkcq,0.979896396
Chid1,0.979882649
Spopl,0.979846722
Rel,0.979831109
Fcho2,0.979821905
Cers4,0.979800563
Ccng1,0.979760605
Gm13403,0.979695431
Ctns,0.97968254
Tmco4,0.979667423
Adam12,0.979665072
Akt2,0.979656067
Trim3,0.979654747
Stpg3,0.979591837
Cox8a,0.979445221
Glmp,0.97939219
Arhgef1,0.97936649
Clic4,0.979361179
Zfp626,0.97933312
Chd9,0.979321258
Acly,0.979320785
Tbata,0.979310345
Kdm5b,0.979281847
Tdrd9,0.979253112
Scaf8,0.97924587
Tex22,0.979166667
Ubr1,0.979094353
Spg11,0.979051356
Rplp0,0.979016643
Ankle2,0.978994724
Hnrnpf,0.978962818
Akap8,0.978947197
Ptger4,0.978939896
Rpl15,0.978903244
Fasn,0.978872945
Bmf,0.978827861
Arhgap29,0.978787879
Tmem140,0.978784758
Sspo,0.978761062
Foxk2,0.978748759
Exoc7,0.978744462
Mtmr4,0.978743068
Dlg1,0.97873031
Lsm12,0.978707381
Tmem245,0.97868362
Yipf2,0.978615071
Ppp6r3,0.978607461
Dnah9,0.978571429
Glud1,0.978554552
Pde4a,0.978550587
Mast2,0.978543689
Atg9a,0.978533095
Tmem156,0.978527607
Zbtb14,0.978517889
Ankmy2,0.97851716
Eny2,0.97851045
Eral1,0.978502244
Dpf2,0.978494041
Tsr3,0.978465153
Cyc1,0.978427829
Mtpap,0.978392722
Fmnl2,0.978390167
Snhg4,0.978363123
Klri2,0.978299675
Il20rb,0.978290366
Uprt,0.978274898
Oxsm,0.978273299
Mettl8,0.978269305
Stom,0.978257719
Tra2b,0.978254794
Top3b,0.978254061
Gm12185,0.978234583
Samhd1,0.978193176
Slc12a9,0.978185424
Prex1,0.978161698
Zfand3,0.978151955
Mad1l1,0.978137748
Fam107b,0.978032836
Nsf,0.978007668
Slc2a1,0.978003999
Celf1,0.977975284
Ints8,0.977973013
Ptms,0.977966564
Glipr2,0.977946642
Was,0.977946057
Dram2,0.977933376
Creb3l2,0.977889241
Akap10,0.977879724
Stat1,0.977854622
Zfp961,0.977846326
Znhit1,0.977826359
Ap4e1,0.977812598
Pds5b,0.977811489
Tmed7,0.977796979
Rab33b,0.977793696
Msrb1,0.977766798
Usp48,0.977742523
Mpdu1,0.977736052
Ppid,0.977699716
Eif3j1,0.97769724
Cldnd1,0.97767481
Bcl6b,0.977667494
Surf1,0.977647868
Psmb5,0.977617508
Lactb2,0.977522028
Sec14l1,0.977511103
Mrps34,0.977477477
Ppp2r3d,0.977451229
Fam63b,0.977439156
Dhx40,0.977422198
Gpatch2,0.977421353
Mfsd14b,0.977376203
Tufm,0.977290525
Inca1,0.977272727
Usp9x,0.977266802
Rcan1,0.977220957
Tmed2,0.977173716
Mapk1,0.977139536
Capn7,0.977089878
Rac1,0.977074608
Tbk1,0.977005218
Eif3i,0.976992857
Sulf2,0.976971323
Nsun2,0.976943749
Gimap3,0.976934943
Copa,0.976916235
E2f2,0.976883004
Poll,0.976878613
Gltscr2,0.97683427
Ubr4,0.976798867
Prcc,0.97678166
Mcoln2,0.976755811
Uba2,0.976755303
Thrsp,0.976744186
Bckdha,0.976731746
Cracr2a,0.976723366
Baz2a,0.97671739
Olfr1030,0.976666667
Necap1,0.976644656
Muc5b,0.976617303
Nap1l4,0.976603425
Vmn2r42,0.9765625
Tspan1,0.9765625
Olfr397,0.9765625
Lcmt2,0.976559546
Pdzd11,0.976538291
Pura,0.976420656
Polr3a,0.976393137
Kpnb1,0.97638643
Ewsr1,0.976369333
RP24-365A12.2,0.976331361
Trim8,0.976286754
Dnajb11,0.976270336
Dync1li1,0.976255808
Zfp174,0.976243269
Prpf31,0.976207363
Gpsm3,0.976144046
Zbtb33,0.976124213
Coro1a,0.97612365
Gm26617,0.976123154
Zfp317,0.976024239
Ranbp6,0.976020739
Psme4,0.976013101
2810021J22Rik,0.976008243
Rdh5,0.976
Trip10,0.975923852
Nudt15,0.975914775
Prkrip1,0.975912976
Cul4a,0.975905944
Zmat3,0.975869121
Larp1,0.97586168
Crot,0.97585579
Doc2b,0.975806452
Olfr807,0.975806452
Abhd14a,0.97579758
Gm6297,0.975783476
Yeats4,0.97577222
Ehd2,0.975708502
Mib1,0.975628608
Rabgef1,0.97562568
Enox2,0.975618632
Psmb7,0.975611943
Gm42744,0.975609756
Mlf2,0.975589037
Pigf,0.975584944
Stim2,0.975567459
Tprn,0.975555556
Ranbp10,0.975537704
Chuk,0.975486742
Pak2,0.975482912
Irak2,0.975478337
Aaed1,0.975445617
Yipf6,0.975410333
Chfr,0.975391499
Lace1,0.975390984
Shoc2,0.975383206
Zfp667,0.975363489
Pdlim5,0.975277857
Shroom3,0.975265018
Parl,0.975258988
Pias1,0.975250402
Arhgef2,0.975243779
Papss2,0.975232198
Secisbp2,0.975231907
Oasl1,0.975221239
Armc7,0.975210629
Hal,0.975206612
Zfp788,0.975204622
Mdk,0.9751693
Ccdc61,0.975167286
Jpx,0.97515528
Diexf,0.975107643
Pnpla6,0.975090272
Phlpp1,0.975061685
Cep83os,0.975027954
Rragc,0.975020542
Coq10b,0.975018925
Ptpn23,0.975018059
Dsg4,0.975
Jmy,0.974994702
Ufc1,0.974937011
Ccdc88c,0.974935108
Rdh10,0.974923234
Cxcr3,0.974913318
Bax,0.974857384
Trmt2a,0.974847137
Frs2,0.974843162
Mcur1,0.974831751
Strip1,0.974820783
Ulk3,0.97480777
Dmtf1,0.974807626
Pold2,0.974799733
Cab39l,0.974740303
Sprtn,0.974732478
Ubr7,0.974728988
Urod,0.97472102
Fam195b,0.974703017
Gm38399,0.974637681
Oplah,0.974621079
Uba6,0.974563725
Atox1,0.974559687
Klf7,0.974548099
Slamf7,0.974474039
Dnajb9,0.97447383
Wrn,0.97447004
Mocs2,0.97445419
Arfip1,0.974420704
Psmd12,0.974418769
Ldah,0.974398701
Zfp442,0.974384236
Abca13,0.974380871
Lamtor5,0.974371612
Pts,0.974365547
Apc2,0.974317163
Ankrd40,0.974295517
Slc1a3,0.974293059
Fam69a,0.974275514
Mxd4,0.974269318
Exoc4,0.974213654
Luc7l,0.97421246
Abcd3,0.974194468
Smu1,0.974110346
Ubac2,0.97410621
Ap1b1,0.974080671
Cd84,0.974074128
Atp5s,0.974069899
Git1,0.974058807
Vamp4,0.973995102
AI987944,0.973934109
Zc3h14,0.973929523
Mier1,0.973920425
Il2ra,0.973894126
Triap1,0.97387928
Ube4a,0.97387737
Man2a1,0.973866877
Ubxn6,0.973801561
Rasa3,0.973766585
C130073E24Rik,0.973765432
Snrpd1,0.973723799
Zfp994,0.973706429
Ahr,0.973698054
Gm26704,0.973684211
Neu3,0.973684211
Zfp263,0.973676658
Uqcrfs1,0.973657202
Zfp65,0.973645087
Apobec3,0.973637748
Mgat4b,0.973630832
Traf3,0.973617183
8030462N17Rik,0.973590787
Msl1,0.973555166
Fzd5,0.973529622
Tada2b,0.973469139
Rnf181,0.973456121
Slc26a10,0.973451327
Nedd4l,0.97340824
Aasdh,0.973403046
Gm8334,0.973372781
Hif1an,0.973370352
Fam117b,0.973345588
Sdf2l1,0.973339291
Adgrf4,0.973333333
Plppr5,0.973333333
Armc5,0.973263022
Tm9sf4,0.973212357
Dtnb,0.973189592
Gm5617,0.973180077
Ncoa2,0.973162445
Olfr1418,0.97311828
Stk11,0.973107939
Arnt2,0.973105134
Rad18,0.973095779
Rars,0.973080068
Dchs2,0.973070018
Ankrd39,0.973056995
Hspa14_1,0.973045538
Cptp,0.973044397
Wbscr27,0.973039216
2900026A02Rik,0.973011607
Polm,0.972992126
Cnih2,0.972972973
4933427D14Rik,0.972930722
Stk26,0.972925797
Cct4,0.972871545
Rhot1,0.972860736
Smg8,0.972825548
Naa40,0.972802423
Zfp458,0.972801451
Max,0.97279684
Gm19541,0.972789116
Snap23,0.972778338
Rbm12b2,0.972750706
Plekhh2,0.972727273
Usp11,0.972683993
Gsdmd,0.972619388
Mon2,0.972595559
Rsbn1,0.972549979
Tmem260,0.972539161
Tcf3,0.972528675
Gimap4,0.972523235
Dnajc14,0.972461221
Sidt2,0.972459639
Gtpbp1,0.972456055
Nmrk1,0.972443031
Elf2,0.972422316
Rbm41,0.972342193
Iqsec2,0.972304649
Utp23,0.972293925
Tmem39a,0.97226656
Ppp2r5c,0.972261221
Ppm1n,0.972222222
Ttyh3,0.972201812
Map3k9,0.972140762
Csnk1g2,0.972131184
Phc3,0.972124754
Tbl1xr1,0.972118323
Bag5,0.972103976
Bcl7c,0.972087614
Nt5c,0.972069771
Gm8251,0.972040452
Mycbp2,0.971979574
Plek,0.971973716
Aasdhppt,0.971971234
Fam118a,0.971965933
Cisd1,0.971952535
Gm20605,0.971908902
Btaf1,0.971908305
Poldip3,0.971903753
Mtor,0.971886101
2010001A14Rik,0.971830986
Efr3a,0.971827753
Eif3d,0.971701357
Tll1,0.971698113
Arhgap12,0.971673621
Fcer2a,0.971646674
Deaf1,0.971599147
Zfp719,0.971543751
Rfc2,0.971540607
Tgm3,0.971518987
Clptm1,0.971492921
Hsdl1,0.971482422
Wasf1,0.971428571
Tm9sf1,0.971426677
Grap,0.971423726
Zfp956,0.971305326
Vdac1,0.971300385
Crb3,0.971291866
Hars,0.971284338
Olfr46,0.971276596
Cdc42se2,0.971257375
Armc1,0.971214893
Map2k7_1,0.971210753
Cdk7,0.971119863
Gigyf1,0.971106453
Sp1,0.971072599
Sept2,0.971065322
Gxylt2,0.971052632
Vps33a,0.971049724
Trim43a,0.971014493
Mknk1,0.970994475
Tgds,0.970933073
Olfr761,0.970873786
Cep120,0.970843606
Slc26a6,0.97084048
Nkg7,0.970788039
Dhrs3,0.970787689
Eef2kmt,0.970743853
Golm1,0.970709585
Mbp,0.970688389
Sptlc2,0.970680573
Arhgap17,0.970642499
Rnf130,0.970617814
Rpl32,0.970599952
Pus7l,0.970596714
Camsap1,0.970574962
Rpl30,0.970565115
Rap1b,0.970545227
9130401M01Rik,0.97054437
Trabd,0.970541751
Mars2,0.970535365
Ptdss2,0.970486573
E4f1,0.970484685
Fau,0.970483739
Gm15440,0.970479705
Cenpq,0.970476501
Wipf1,0.970447066
Yipf3,0.970392864
Pdzd8,0.970373907
Parp3,0.970361117
Lrrcc1,0.970357942
2810474O19Rik,0.970356626
Gm26637,0.97029703
Maz,0.970266576
Tmem144,0.970260223
Smg1,0.970240988
AW011738,0.970240108
Tmem128,0.970218121
Atl2,0.970201397
Gng2,0.970166674
Klhl30,0.970165349
Cd37,0.970163927
Otud5,0.97016174
Kiz,0.970093044
Ms4a7,0.970074813
Sh3gl1,0.970065482
Gm16026,0.97005988
Rps19,0.970056595
Pten,0.970052578
Dennd5a,0.970012777
Csnk2b,0.969996153
Adsl,0.969984202
Snapc1,0.969982584
Mgat5,0.969962769
Xpo7,0.969928952
Slc7a14,0.969907407
Nabp1,0.969868848
Angptl4,0.969860549
Ints5,0.969847278
Arl10,0.969844021
Supt4a,0.969839774
Map4k1,0.969839654
Smim24,0.969827586
Tab2,0.969804932
Slc2a9,0.969803063
Mbnl1,0.969793354
Gm26804,0.96978852
Gan,0.969776162
Pikfyve,0.969738941
Mgrn1,0.969706274
1810019D21Rik,0.96969697
Lrtm2,0.96969697
Stac3,0.969620253
Cytip,0.969585346
Ppm1a,0.96957788
Pogk,0.969576838
Zfp507,0.969574854
Pex2,0.969550507
Rhog,0.969507359
Kcmf1,0.969447494
Irs1,0.969444444
Aifm2,0.969432314
Eif4h,0.969392271
Olfr1226,0.969387755
Suco,0.969380244
Vegfb,0.969364426
Pitpnc1,0.96936091
Pxn,0.969356688
Vps8,0.969307004
Slitrk3,0.969298246
Rwdd4a,0.969276146
Taf13,0.969259832
Vps13b,0.969242479
Blmh,0.969237868
Gpi1,0.969231477
Trim26,0.969216722
Zxdc,0.969211436
Med23,0.969207566
Smad2,0.969167471
Rab11fip5,0.969166667
Zbtb21,0.969159836
Ablim1,0.969144854
Htr5a,0.969101124
Txndc15,0.969088812
4930555F03Rik,0.969072165
Atp5e,0.969072165
Myo3a,0.969072165
Uox,0.969072165
Ammecr1l,0.969054076
Lhfpl2,0.969042477
Ptp4a3,0.969007774
Zfp1,0.96897932
Olfr175-ps1,0.968965517
Grin3b,0.968965517
Lsg1,0.968938559
Atg4b,0.968932677
Clasp2,0.968924404
Kansl1,0.968837924
Sclt1,0.968823807
Zfp827,0.968803694
Gm29609,0.96875
Tsc1,0.968733086
Nup93,0.968723255
Pja1,0.968686489
Med14,0.968665261
Gm20655,0.968660969
Psmd8,0.968658034
Rbm5,0.968613399
Zfp831,0.968605756
Ddx58,0.968580286
Xpnpep1,0.968572676
Elf4,0.968565976
Arih2,0.968518116
Dock2,0.968487152
Slc25a24,0.968485837
Fgf9,0.968468468
Umps,0.968449136
Trip11,0.968409464
Pmpca,0.96837925
Golga4,0.968375739
Rab23,0.968372867
Vsir,0.968364332
Nudcd3,0.968360923
Kcna2,0.968339307
Smim8,0.96833216
Arid5a,0.968317304
Ercc6,0.968301753
Slc25a25,0.968299712
Klf12,0.968299454
Nectin3,0.968253968
Rin3,0.968241906
Polr3k,0.968229003
Lin37,0.968203158
Wdr47,0.968200725
Clec16a,0.968198307
Zgrf1,0.968172043
Otud4,0.968161817
Polr2e,0.968148565
Herpud1,0.968138801
Zbtb17,0.968118764
Ube2j1,0.968080474
Ppp1r35,0.96801433
Mex3d,0.96799117
Lrrc8a,0.967957915
Pcf11,0.967917719
Zfp236,0.96790464
Sp3,0.967888415
Ints6l,0.967884899
Stxbp5,0.967881263
Vcpip1,0.967869814
Entpd6,0.967848228
Crk,0.967801288
Sumo2,0.967797122
Csk,0.967691263
Atp2b4,0.967681182
Maml2,0.967632806
Atp8b4,0.967606377
Slc7a7,0.967555041
Pilra,0.967543369
Gm45503,0.967532468
Rsf1,0.967513155
Tfrc,0.96751295
Tmem206,0.967499248
Pdik1l,0.967487017
Fbxl4,0.967481663
Prdm5,0.967455621
Ift74,0.96742671
B130034C11Rik,0.967418546
Stat3,0.967418245
Dyrk1a,0.967407266
Dbr1,0.967388208
Cstf2,0.967333174
Samd1,0.967327041
Gprin3,0.967323049
Slfn3,0.967308391
Dr1,0.967287176
Tmtc1,0.967254228
Camk2n1,0.967231021
Ctdsp1,0.967219689
Fbxo3,0.967197589
Neb,0.967193196
Dzip3,0.967183526
Dzip1,0.967157418
Arap1,0.967137958
Stk40,0.967133701
Fmo5,0.967070661
Rnase4,0.967065868
Ube2d3,0.967015625
Gpr37,0.967010309
Tmem132c,0.9669967
Gramd4,0.966990664
Ppm1h,0.966986957
Wfdc8,0.966942149
Bet1l,0.966908432
Cse1l,0.96687274
Setdb2,0.966841965
Sqstm1,0.966836273
Ehbp1l1,0.966822613
Psma6,0.966814798
Rpusd1,0.966750314
Slc39a1,0.966749204
Impad1,0.966741993
Mob1b,0.966734948
Specc1l,0.966666667
Arxes1,0.966666667
Taf7l,0.966666667
Setx,0.966615949
Zkscan17,0.966613866
Vangl2,0.966613672
Dzank1,0.966604824
Hk1,0.966601139
Stx7,0.966594199
Eef2,0.966589683
Fancl,0.966585662
Nek9,0.96657626
Mrpl57,0.966570605
Daam2,0.966569767
BC005537,0.966550902
Zbtb20,0.966506762
Irf3,0.966503622
Prdm14,0.966442953
Rnaseh1,0.966423358
Flt3l_2,0.966398486
Sec61a1,0.966393143
Snhg20,0.966355251
Rapgef3,0.966346154
March5,0.966343626
Smek1,0.966272469
Sin3a,0.966204095
Chga,0.966101695
Twist2,0.966101695
Fbxl12os,0.966080402
Gabarapl2,0.966075231
Rhno1,0.966062979
Carm1,0.966061769
Arl4c,0.966050593
Snrnp25,0.966013072
Cchcr1,0.965984148
Tnpo1,0.965962462
Ahsa1,0.965961306
Usp45,0.965959736
Hspa13,0.965958581
Map2k4,0.965920713
Usp19,0.965893772
Itpr2,0.965806892
Fyttd1,0.965805835
Slc30a5,0.965805105
Uap1l1,0.965798948
Flot1,0.965761317
Celf2,0.965712145
Zfand2b,0.965671339
Msantd1,0.965599051
Ogfod2,0.965597668
Cab39,0.965582768
Tshr,0.965517241
Abcb10,0.965517241
Ccne1,0.965508366
Obfc1,0.965507949
Yaf2,0.965499216
Gm10522,0.965446559
Zfp654,0.965430102
Ergic2,0.965427464
Brd2,0.965404749
Ptprb,0.965376782
Ksr2,0.965374677
Mpp5,0.965360073
Arf3,0.965347261
Gm6086,0.965346535
Eogt,0.965332873
Mettl17,0.965319709
Wbscr22,0.965304549
Ywhag,0.965302311
Ubr2,0.965297714
Farsa,0.965289388
Fermt3,0.965288182
Junos,0.965277778
Chsy1,0.965276572
Slk,0.965225368
Tsn,0.965224305
Trappc11,0.965218616
Adprhl1,0.965189873
Papd5,0.965153316
Pdss2,0.965106007
Cep152,0.965058331
Nfkb2,0.965056083
2610005L07Rik,0.96500981
Zfp36l1,0.964975678
Pde12,0.964919388
RP23-122B15.2,0.964912281
Ntan1,0.964865167
Wsb2,0.964805171
Tnrc6c,0.964793391
Fchsd2,0.96477365
Pola2,0.96473885
Ube4b,0.964719652
Arfgef1,0.964689457
Meioc,0.964684015
Mtrr,0.964658444
Arfip2,0.964640512
Endod1,0.964635727
Zc3h11a,0.964624455
Mlycd,0.964624038
Cog3,0.964619077
Wdtc1,0.964618042
Trim33,0.964602835
Ube2f,0.964580559
Fam120a,0.96457953
Atp5a1,0.964546806
Dnajb13,0.964526485
9430076C15Rik,0.964509395
Irf1,0.964509223
Btbd10,0.964453882
Coro1b,0.964451383
Eomes,0.964424614
Sf3b1,0.964281622
Cyp4f16,0.964272955
Btbd9,0.964243569
Tbc1d32,0.964208243
Map3k14,0.96418582
Ncor2,0.964169627
Siva1,0.964166022
Pdp2,0.964150658
Htt,0.964142705
Rpe,0.964106145
Ccr5,0.964104423
Dhx9,0.963997916
Add2,0.963969404
Fdps,0.96394076
Myo16,0.963917526
Inf2,0.963916379
Nabp2,0.963907118
Znrd1as,0.963842975
Slc2a13,0.963768116
Rps10,0.963747182
Stxbp2,0.963708121
Cmc2,0.963701431
Mea1,0.963654224
Lrmp,0.963650245
C130021I20Rik,0.963636364
Mvk,0.963636364
Rsph1,0.963636364
Ywhaz,0.963629557
Dguok,0.963603426
Arhgap18,0.963597309
D430042O09Rik,0.963553077
Pum1,0.963548359
B3gnt2,0.963517722
Agpat1,0.963507266
RP23-292G1.5,0.963498099
Ankrd52,0.963485904
Spag9,0.963452273
Usf3,0.963452102
Gpr179,0.963423555
Kdm2a,0.963416906
Gm37915,0.963414634
Wdr33,0.963370527
Trafd1,0.963344182
Me3,0.963325183
Pgm2l1,0.963321724
Sh3glb1,0.963312316
RP23-181A8.7,0.963302752
Tmem165,0.963287966
Stt3a,0.963278569
Trub1,0.963230241
Vmn2r54,0.963190184
Ahnak2,0.96313912
Gna11,0.963059365
Kat7,0.963027888
H2-K1,0.963023384
Nktr,0.962986422
Faap24,0.962962963
Cct6a,0.962924109
Mipep,0.962918945
Bend3,0.962911708
Ap3m2,0.96290144
Nfatc3,0.962876865
Dgke,0.962732113
Sacm1l,0.962729274
Fiz1,0.962679426
Pin1,0.962663546
Ccdc97,0.962662603
Gtf3c3,0.962647929
Golph3,0.962643124
Araf,0.96263763
Pi4k2b,0.962636069
Vmp1,0.962599196
Mex3b,0.96259542
Map3k8,0.962584067
Dhx32,0.962546187
Psen2,0.962545735
Tjap1,0.962479608
Fam65b,0.962445982
Klre1,0.962419286
Ccl5,0.962374462
Dnajc1,0.962370121
Olfr76,0.962318841
Zdhhc20,0.962312746
Uhmk1,0.962302283
D6Ertd527e,0.962301587
Ccdc115,0.962290227
Atp6v1h,0.962258544
Btf3l4,0.962236747
Ftl1,0.962229441
Madd,0.962183995
Mtf1,0.962182502
Ccnd2,0.962178743
Il7r,0.96216299
Fnbp4,0.962138357
Gm45414,0.962121212
Lyst,0.962102138
Lzts2,0.962078652
Fam220a,0.962063228
Ppp1r15b,0.962054205
Tspan5,0.962051505
Ogfod3,0.962011173
Mapk1ip1l,0.961963412
Pik3r5,0.961946408
Apc,0.961940402
Arsb,0.961921404
Atp5l,0.961912399
Prkag2,0.961897488
Idh3b,0.96188735
Gm20559,0.961864574
Mcm3ap,0.961833785
Rbm10,0.96181073
Dhrs11,0.961807766
Aoc2,0.961779806
Mtfr1,0.961724162
Arpc1b,0.961705349
Mul1,0.961690363
Cdk13,0.961569088
Rcc2,0.961554401
Focad,0.961529097
Ptk2b,0.961522961
Ddx19b,0.961425422
Mapkbp1,0.961420932
Pou6f2,0.961403509
Tulp4,0.961393231
Fbxl8,0.961372064
D16Ertd472e,0.961341098
Arf6,0.961339986
Vps4a,0.96131896
Tbc1d31,0.961304876
Tpp2,0.961297444
Apcdd1,0.961290323
Xpo5,0.961284393
F2rl3,0.961272476
Nfat5,0.961247387
Fbxl20,0.961246201
Selplg,0.961230419
Cnppd1,0.961214609
Gimap8,0.961187967
Olfr506,0.961165049
Hist1h3b,0.961128527
Rad51d,0.961089494
Cecr5,0.961079696
Mapkapk5,0.961078677
Psme3,0.961069449
0610005C13Rik,0.961038961
Zfp637,0.960991836
C130026I21Rik,0.960981048
Myo3b,0.9609375
Map1a,0.960932145
Actr8,0.960892514
4931414P19Rik,0.960890493
Smek2,0.960842662
Vps52,0.960761551
Fgfbp3,0.960743802
Fez2,0.960655738
Cct8,0.960615729
Myo1g,0.960600074
Ets1,0.960560106
Rngtt,0.960552268
Cox19,0.960543063
Nip7,0.960542242
B3gnt3,0.960514233
Elmo1,0.960509854
Slc29a3,0.960454966
Bin1,0.960440794
Atp6v0c,0.960348453
Copb1,0.960346225
Ctsw,0.960235537
Txlna,0.96023065
Gltp,0.960221431
Reep3,0.960211682
Kmt2c,0.960197739
Ube2k,0.960175956
Gcdh,0.96016403
Scn4a,0.960159363
Ubl7,0.960148202
Ece1,0.960133871
Rnf14,0.960099369
Hip1r,0.960079077
Frmd4a,0.960036186
Mitd1,0.960029202
Nup107,0.96001568
Scube1,0.96
Evpl,0.96
Xpo6,0.959967956
Bmi1,0.959855935
S1pr5,0.959854224
Pla2g6,0.959852794
Fam21,0.959852149
S100a6,0.95980639
Tal2,0.959798995
Rtcb,0.959772382
Chd7,0.959766074
Slc20a1,0.95974654
Srd5a3,0.959699248
Fam96a,0.959683922
Tmem177,0.95967396
Shkbp1,0.959637017
Selenoo,0.959588538
Il18rap,0.959579771
Cenpv,0.959574468
Acox3,0.95954207
Srsf6,0.959525044
Plp2,0.959517657
Ubxn7,0.959513641
Ndst2,0.959501558
Ifi35,0.959470386
Arntl,0.959399333
Elp2,0.959321831
Bcas2,0.95931867
Rcor1,0.959314622
Crbn,0.959296678
Arhgdib,0.959270724
Zfp825,0.959262852
Zfp433,0.959249677
Leprotl1,0.959196235
Nf2,0.959189179
Olfr114,0.959183673
Man2a2,0.959178367
Dhrs1,0.959162663
Hmgcr,0.959127778
Ubac1,0.959030386
Klhdc2,0.959002079
Tshz3,0.958993348
Tarbp1,0.958963731
Tomm22,0.958952759
Ighmbp2,0.958942355
Surf4,0.95893111
Fam63a,0.95891422
Olfr870,0.95890411
Col23a1,0.95879486
Spata13,0.958774444
Acad9,0.958769809
Clybl,0.958751394
Fbxl15,0.958646617
Cars2,0.958569258
Kynu,0.95849546
Pdcd6ip,0.958488746
Mepce,0.958477816
4930430F08Rik,0.958426966
G2e3,0.958425064
Def8,0.958418891
Zbtb7a,0.958351702
Ppp3r1,0.958339669
Mylip,0.958273826
Zfp512b,0.958258528
Rchy1,0.958237586
Havcr1,0.958188153
Cited2,0.958179779
Trerf1,0.958169794
Slmo2,0.95816942
Actl7a,0.958139535
Klf13,0.958115111
Mfsd10,0.95811387
Fancb,0.95806151
Shprh,0.958052968
Ano9,0.958041958
Cd164,0.957992035
Oxsr1,0.957983193
Ror1,0.957983193
Slc9a6,0.957975986
Metap1,0.957946678
Ogfr,0.957907469
Vmn1r204,0.957894737
Gpr45,0.957894737
Alg14,0.957860616
Zcchc4,0.957841285
Gpr183,0.957831325
Tamm41,0.9578125
Chrna2,0.9577871
Ddx6,0.957783574
Trim44,0.957762245
Polr2i,0.957758874
Gm17275,0.957746479
Olfr411,0.957746479
Nmd3,0.957743135
Fam173b,0.95768342
Plag1,0.957674419
Pcmtd2,0.957667547
Tmem72,0.957658491
G6pdx,0.957624497
Rc3h1,0.957620333
Mapk14,0.957614884
Wwtr1,0.957446809
Mpp2,0.957417582
Mss51,0.95740498
Smap2,0.957394002
Zyx,0.957380465
Kdm4d,0.957373272
Med19,0.95735886
Vps37c,0.957319288
Zbtb7b,0.957295809
